,drug_id,drug_name,PubChem Substance,PubChem Compound,PubChem Canonical Smiles
148,DB00040,Glucagon recombinant,46504732,,CC(C)CC(C(=O)NC(CCSC)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC6=CC=CC=C6)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(CO)NC(=O)C(CC7=CNC=N7)N
151,DB00041,Aldesleukin,46508054,,
159,DB00044,Lutropin alfa,46507624,,
161,DB00046,Insulin Lispro,46507498,,
163,DB00047,Insulin Glargine,46507981,,CCC(C)C1C(=O)NC2CSSCC(C(=O)NC(CSSCC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NCC(=O)O)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC5=CC=CC=C5)C(=O)NC(CC6=CC=CC=C6)C(=O)NC(CC7=CC=C(C=C7)O)C(=O)NC(C(C)O)C(=O)N8CCCC8C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)C(CC(C)C)NC(=O)C(CC2=CNC=N2)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CC2=CC=CC=C2)N)C(=O)NC(C(=O)NC(C(=O)N1)CO)C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)CN
172,DB00051,Adalimumab,46504982,,
186,DB00053,Imiglucerase,46508744,,
187,DB00054,Abciximab,46505910,,
226,DB00058,Alpha-1-proteinase inhibitor,46506364,,
230,DB00061,Pegademase bovine,46508490,,
232,DB00062,Human Serum Albumin,46509098,,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCNC(=O)COCCOCCNC(=O)CCN3C(=O)C=CC3=O)C(=O)N)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC6=CC=CC=C6)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC7=CNC=N7)N
236,DB00065,Infliximab,46505602,,
237,DB00066,Follitropin,46508818,,
238,DB00067,Vasopressin,46505933,,
241,DB00068,Interferon beta-1b,46504458,,
247,DB00071,Insulin Pork,46508925,,CCC(C)C1C(=O)NC2CSSCC(C(=O)NC(CSSCC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NC(CC(=O)N)C(=O)O)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC5=CC=CC=C5)C(=O)NC(CC6=CC=CC=C6)C(=O)NC(CC7=CC=C(C=C7)O)C(=O)NC(C(C)O)C(=O)N8CCCC8C(=O)NC(CCCCN)C(=O)NC(C)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)C(CC(C)C)NC(=O)C(CC2=CNC=N2)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CC2=CC=CC=C2)N)C(=O)NC(C(=O)NC(C(=O)N1)CO)C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)CN
274,DB00073,Rituximab,46505820,,
314,DB00076,Digoxin Immune Fab (Ovine),46506432,,
340,DB00082,Pegvisomant,46505507,,
360,DB00089,Capromab pendetide,46506263,,
361,DB00090,Laronidase,46505612,,
377,DB00093,Felypressin,46507522,14257662,C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=CC=C4)N)C(=O)NC(CCCCN)C(=O)NCC(=O)N
390,DB00097,Choriogonadotropin alfa,46506863,,
392,DB00098,Antithymocyte immunoglobulin (rabbit),46506920,,
401,DB00099,Filgrastim,46505833,,
417,DB00105,"Interferon Alfa-2b, Recombinant",46507075,,
1292,DB00175,Pravastatin,46504851,54687,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O
1296,DB00178,Ramipril,46506390,5362129,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
1301,DB00181,Baclofen,46508181,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
1315,DB00183,Pentagastrin,46507747,9853654,CC(C)(C)OC(=O)NCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N
1316,DB00184,Nicotine,46506924,89594,CN1CCCC1C2=CN=CC=C2
1329,DB00185,Cevimeline,46507202,25137844,CC1OC2(CN3CCC2CC3)CS1
1331,DB00186,Lorazepam,46508468,3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
1333,DB00187,Esmolol,46506146,59768,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
1337,DB00190,Carbidopa,46508775,34359,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
1343,DB00192,Indecainide,46506714,52195,CC(C)NCCCC1(C2=CC=CC=C2C3=CC=CC=C31)C(=O)N
1369,DB00198,Oseltamivir,46507602,65028,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC
1377,DB00200,Hydroxocobalamin,46505751,70678542,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co+2]
1386,DB00201,Caffeine,46506408,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
1397,DB00202,Succinylcholine,46506023,5314,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
1414,DB00207,Azithromycin,46507743,447043,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
1418,DB00208,Ticlopidine,46504438,5472,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl
1419,DB00209,Trospium,46506398,5284632,C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O
1420,DB00210,Adapalene,46505019,60164,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
1426,DB00211,Midodrine,46507373,4195,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
1429,DB00212,Remikiren,46507286,6324659,CC(C)(C)S(=O)(=O)CC(CC1=CC=CC=C1)C(=O)NC(CC2=CN=CN2)C(=O)NC(CC3CCCCC3)C(C(C4CC4)O)O
1430,DB00213,Pantoprazole,46504622,4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
1431,DB00214,Torasemide,46504760,41781,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C
1432,DB00215,Citalopram,46508746,2771,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
1444,DB00217,Bethanidine,46507605,2368,CNC(=NC)NCC1=CC=CC=C1
1450,DB00219,Oxyphenonium,46508840,5749,CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
1451,DB00220,Nelfinavir,46507719,64143,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O
1452,DB00221,Isoetarine,46505384,3762,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
1454,DB00222,Glimepiride,46508842,3476,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
1457,DB00223,Diflorasone,46504519,71415,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F
1458,DB00224,Indinavir,46506442,5362440,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
1460,DB00226,Guanadrel,46506457,38521,C1CCC2(CC1)OCC(O2)CN=C(N)N
1494,DB00232,Methyclothiazide,46509197,4121,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
1498,DB00233,Aminosalicylic Acid,46505572,4649,C1=CC(=C(C=C1N)O)C(=O)O
1504,DB00235,Milrinone,46507838,4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
1505,DB00236,Pipobroman,46506548,4842,C1CN(CCN1C(=O)CCBr)C(=O)CCBr
1511,DB00238,Nevirapine,46506789,4463,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4
1512,DB00239,Oxiconazole,46504752,5353853,C1=CC(=C(C=C1Cl)Cl)CON=C(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
1515,DB00240,Alclometasone,46508296,5311000,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl
1539,DB00244,Mesalazine,46509142,4075,C1=CC(=C(C=C1N)C(=O)O)O
1547,DB00245,Benzatropine,46505349,1201549,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
1550,DB00246,Ziprasidone,46507627,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54
1575,DB00247,Methysergide,46506117,6540428,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
1583,DB00248,Cabergoline,46508571,54746,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C
1610,DB00251,Terconazole,46505257,441383,CC(C)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=NC=N4)C5=C(C=C(C=C5)Cl)Cl
1616,DB00253,Medrysone,46506584,247839,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C
1638,DB00259,Sulfanilamide,46508306,5333,C1=CC(=CC=C1N)S(=O)(=O)N
1639,DB00260,Cycloserine,46506865,6234,C1C(C(=O)NO1)N
1641,DB00261,Anagrelide,46508863,2182,C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31
1648,DB00265,Crotamiton,46508599,2883,CCN(C1=CC=CC=C1C)C(=O)C=CC
1649,DB00266,Dicoumarol,46505536,54676038,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O
1652,DB00267,Cefmenoxime,46506246,9570757,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
1677,DB00272,Betazole,46506808,7741,C1=C(NN=C1)CCN
1678,DB00273,Topiramate,46508334,5284627,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C
1698,DB00277,Theophylline,46505949,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2
1716,DB00280,Disopyramide,46508226,3114,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
1731,DB00282,Pamidronate,46504823,4674,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O
1738,DB00285,Venlafaxine,46504593,5656,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
1741,DB00286,Conjugated estrogens,46505680,,
1742,DB00287,Travoprost,46507637,5282226,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O
1743,DB00288,Amcinonide,46506705,443958,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6
1745,DB00289,Atomoxetine,46506160,54841,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2
1752,DB00291,Chlorambucil,46506842,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
1753,DB00292,Etomidate,46507012,667484,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
1764,DB00296,Ropivacaine,46504712,175805,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
1767,DB00298,Dapiprazole,46508859,3033538,CC1=CC=CC=C1N2CCN(CC2)CCC3=NN=C4N3CCCC4
1770,DB00299,Penciclovir,46506498,4725,C1=NC2=C(N1CCC(CO)CO)NC(=NC2=O)N
1774,DB00302,Tranexamic Acid,46508089,5526,C1CC(CCC1CN)C(=O)O
1783,DB00304,Desogestrel,46505739,40973,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34
1785,DB00305,Mitomycin,46508353,5746,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
1800,DB00308,Ibutilide,46507904,60753,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
1811,DB00310,Chlorthalidone,46505541,2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
1840,DB00314,Capreomycin,46508514,3000502,CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCN=C(N2)N)CNC(=O)CC(CCCN)N.C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N
1845,DB00316,Acetaminophen,46506142,1983,CC(=O)NC1=CC=C(C=C1)O
1855,DB00319,Piperacillin,46504757,43672,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
1863,DB00321,Amitriptyline,46508798,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
1896,DB00322,Floxuridine,46508645,5790,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
1900,DB00326,Calcium Gluceptate,46507233,62859,C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.[Ca+2]
1913,DB00330,Ethambutol,46504788,14052,CCC(CO)NCCNC(CC)CO
1916,DB00331,Metformin,46507752,4091,CN(C)C(=N)N=C(N)N
1917,DB00332,Ipratropium bromide,46506138,657308,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-]
1920,DB00333,Methadone,46505722,4095,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
1961,DB00335,Atenolol,46506915,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
1972,DB00340,Metixene,46508970,4167,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24
1977,DB00341,Cetirizine,46508368,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
1986,DB00344,Protriptyline,46505128,4976,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13
1993,DB00347,Trimethadione,46504478,5576,CC1(C(=O)N(C(=O)O1)C)C
2001,DB00352,Tioguanine,46508170,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N
2002,DB00353,Methylergometrine,46507746,8226,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
2004,DB00354,Buclizine,46507608,6729,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
2006,DB00355,Aztreonam,46505419,9568617,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
2008,DB00356,Chlorzoxazone,46507755,2733,C1=CC2=C(C=C1Cl)NC(=O)O2
2021,DB00363,Clozapine,46506474,2818,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
2048,DB00364,Sucralfate,46508862,70789197,C(C1C(C(C(C(O1)OC2(C(C(C(O2)OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])COS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al])OS(=O)(=O)O[Al].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O
2064,DB00368,Norepinephrine,46506201,439260,C1=CC(=C(C=C1C(CN)O)O)O
2076,DB00369,Cidofovir,46506054,60613,C1=CN(C(=O)N=C1N)CC(CO)OCP(=O)(O)O
2077,DB00370,Mirtazapine,46506965,4205,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
2107,DB00373,Timolol,46507733,33624,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O
2113,DB00375,Colestipol,46505777,62816,C1C(O1)CCl.C(CNCCNCCNCCN)N
2114,DB00376,Trihexyphenidyl,46507717,5572,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O
2125,DB00381,Amlodipine,46507214,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
2138,DB00383,Oxyphencyclimine,46507487,4642,CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O
2141,DB00384,Triamterene,46507623,5546,C1=CC=C(C=C1)C2=NC3=C(N=C2N)N=C(N=C3N)N
2145,DB00385,Valrubicin,46506642,454216,CCCCC(=O)OCC(=O)C1(CC(C2=C(C3=C(C(=C2C1)O)C(=O)C4=C(C3=O)C(=CC=C4)OC)O)OC5CC(C(C(O5)C)O)NC(=O)C(F)(F)F)O
2147,DB00387,Procyclidine,46505553,4919,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O
2151,DB00388,Phenylephrine,46506961,6041,CNCC(C1=CC(=CC=C1)O)O
2155,DB00390,Digoxin,46508524,2724385,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
2160,DB00392,Ethopropazine,46507375,3290,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
2174,DB00395,Carisoprodol,46506377,2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
2201,DB00399,Zoledronic acid,46507310,68740,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
2207,DB00401,Nisoldipine,46504546,4499,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
2218,DB00403,Ceruletide,46505766,16129675,CC(C(C(=O)NCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N)NC(=O)C(CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C5CCC(=O)N5)O
2220,DB00405,Dexbrompheniramine,46505186,16960,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2
2221,DB00406,Gentian Violet,46505353,3468,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-]
2224,DB00408,Loxapine,46505047,3964,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
2263,DB00411,Carbachol,46509115,5831,C[N+](C)(C)CCOC(=O)N.[Cl-]
2316,DB00419,Miglustat,46506350,51634,CCCCN1CC(C(C(C1CO)O)O)O
2331,DB00421,Spironolactone,46508525,5833,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
2347,DB00424,Hyoscyamine,46507345,154417,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
2351,DB00425,Zolpidem,46507949,5732,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C
2358,DB00427,Triprolidine,46505403,5282443,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC=N3
2363,DB00429,Carboprost Tromethamine,46508118,45266502,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O.C(C(CO)(CO)N)O
2364,DB00430,Cefpiramide,46505548,636405,CC1=CC(=O)C(=CN1)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O
